,title,netflixid,image,synopsis,rating,type,released,runtime,largeimage,unogsdate,imdbid,download
1146,The Posterist,80996344,https//occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYtwIWNAebjFxzz9s22QwaOoR84gqcjtWEsoSj2w8i0odpLXlm9vNBnERpQl888aq9F1IwEQHPbm5kd0-7YOdjnggQ.jpg?r=e70,This documentary pays tribute to Yuen Tai-yung,9.0,movie,2016,1h9m,https//occ-0-58-64.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABepXQ65-xyZzrXCDeFBeV2Recww5dptQc5kZ2ohAjvpa38_rxvTWN2JYRPCMd0CyRiIQgCNJ3g7ykS27RBtpVHMIrYjW.jpg?r=3ca,2018-10-01,tt8156834,0.0
154,The Dark Knight,70079583,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRtIIrpv2j8ZZwKSo73OJyM_Lt0_h4ZQ_DMKI8rlAM_cer2rZc11hcnaJQZqTNuS3OwxxbdVQijsISgwG59neccd_Q.jpg?r=541,As Batman,9.0,movie,2008,2h32m,https//occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTbdMxMC_uLqtNA6qxYCzMH_4RRkG99hcYgDWrZ3tv2yEIYbDcWWc4FUJm_uH0x-TybcUdHUdE5dLagaf3T81n23gXkgvsrhlr__5uwD-WxnsvoKnWKj-BKmGRpNKqxs7syXwSZBV3e5M-B5z0hZuelXAPxw.jpg?r=541,2016-02-14,tt0468569,0.0
2003,Eternal Love,81019520,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVe_OKFLhxCmeybuFWeZL2lUKjRLkziz34CD8k-cgECFj0ND349__cc81tckcIjbEBCbkBrlryApN0b0gIqIwIO3OQ.jpg?r=ff9,After the deities Bai Qian and Ye Hua meet and fall in love,9.0,series,2017,,https//occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbckjZFgfRcmOnSjaXMFiXQqYqNusz1r2ZZfQqXW-aqytlnG3IR_GhqcxSj-PEKMb2hzOSMRzQbgNhVd2NzTvgP9naW9.jpg?r=9d4,2019-03-02,tt6772360,0.0
2401,The Cell,81035883,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf3ONx2G2abme0HmwBXU4QwGm_OXcPFkt_Atl3g_ELrc6Bs8En2LPWarFfYSFYpZva7Y7tOXoAEjt8EP3_xtq4dF2g.jpg?r=3ba,A special operations officer vows to get revenge against the terrorist who killed his friend in a brutal attack.,9.0,movie,2017,2h6m,,2019-06-13,tt7628038,0.0
3752,My Mister,81267691,https//occ-0-2851-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABY42sb_eW_cjkL0W01_kW9HcqKWE8zTBQrgZ6QlI-76BNaz0plWylBIoBbN84Ucx55c5DQXtaijp-bN7bDJsX7aX5w.jpg?r=1ec,In a world that is less than kind,9.0,series,2018,,https//occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRepqc7glv2gzbzBYhgomeckZ4LkFUURMhMjSKMLhuOq53N66gsK6ILIxl04YGiZCmYD6QCDczCikhIZHNoNzcSusauN.jpg?r=437,2020-06-14,tt7923710,0.0
2367,When They See Us,80200549,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXM-M50kaH2UqwhYYUGwJC7W1LoRV7-kmEGJwGd91RJ5774jZ-nix4HOdAjZC3c-eRd7TRBwIpJoSxXBFX-cYTOaHYxP0fSgmAeahZMCN5yIiACYBY0Gv0cNXIM.jpg?r=662,Five teens from Harlem become trapped in a nightmare when they&#39;re falsely accused of a brutal attack in Central Park. Based on the true story.,9.0,series,2019,,,2019-06-01,tt7137906,0.0
2600,Death Note,70068528,https//occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbfUdYmq2V3yOTJJaE_c0P2CVObHHF_9k6x4CpEkYt6DB8HotJtPiA6o91xBKIecpruZf9r7KNdfzZzFzziw_usbig.jpg?r=253,When he finds he has the power to kill anyone by merely writing his or her name,9.0,movie,2006,2h6m,https//occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTwtkO9sKG6GPKkkeIzurRPUG8Ye1IMuC6LMCYiphYtoPqH2UPFjYUaMx5wTzk2HIyt3mZIl1zKob4zUW6H8dyqBRFLS.jpg?r=253,2019-07-19,tt0877057,0.0
751,Stranger,80187302,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABXKmlpfyYs0i10IOR5TMhIX6e78WJ_18quXfRf_xSg4qGWpw4vp6Z2wtrtSChjeSb4vIPwcDOxWKQ7UG7mvhJ9SiIDSo93MMBFfmvv6SMj-5MkVRmeaNGutHHW8.jpg?r=7ef,A prosecutor without empathetic abilities,9.0,series,2017,,https//occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdVO-captYmUA6tkI-tlwQhGX549z7nGFBOIo0I_yOWfwNtgtCNY68uXKwrWKOEF0G8nKQ6FI_dsutXeakWX2ojDoiAVZ9fXG5cm1bw6m61e-VjBDOH_capm7iCnuTcDGwf2D9yfQR1EZjoJbZQVVMWTmlFzAj0.jpg?r=522,2017-06-14,tt6319470,0.0
1326,Friends,70153404,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVAYXGRAq-Dv3Az7MQmuWo_gy6qJCDVSJ_ADixA8Sdl8dJCk21BeIGfrh9f3aor54t8lFlVs_64b9frerPNUpqtejQ.jpg?r=a86,This hit sitcom follows the merry misadventures of six 20-something pals as they navigate the pitfalls of work,8.9,series,1994,,https//occ-0-56-55.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcUeM_E1dQF2t2Ws_Awk1FsC1PDJedr91ic552zYjzx27_S0NhuBWd8upPu1sYcXf7t7J7Q2CZtUzlaq3F7-e_Vuhmw0.jpg?r=c52,2018-10-01,tt0108778,0.0
1328,A Touch of Green,80233859,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABawtqrum1oNk_-fuWoJkJhjor9c511Wpeva2hxn1BX_oXds1N1Idem-OdD12uC1clhyC3pUasyM-TdmIXcBMjYXjfg.jpg?r=777,Amid the turmoil of China&#39;s civil war,8.9,series,2016,,https//occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfTFcCkeu9tHQ0ciURNsuG5d6CtXydD0W9ofNMOjAt1acAqsHUbkGy4ut8ufslNcM7subXKET7MdKN1qXh30LRj0Qk69.jpg?r=40d,2018-10-01,tt5231950,0.0
4414,A Lion in the House,81284341,https//occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTzmzeUkFqgI5HimXXbJ-jFLw6fc-zu0xcVIgwakeEgM2D-k5alUorqYLQCIOT7EogB4oidVEmr9T4KeB_Mkd-eOuA.jpg?r=f79,Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.,8.9,series,2006,,https//occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSVPXWsTLfgixuFNHc9OEyIuX5uYD_TVywhi0wcPMP6e5lOLtdz49M_uZuL3DvQfpjazwYcnsod80mzr1XPMOCR-BDWd.jpg?r=4fa,2020-11-11,tt0492472,0.0
165,The Lord of the Rings The Return of the King,60004484,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWcSnmfT0EFkFlxlc8YVzWVOyQfFFGO24wRhmGRuc6QwK6lF5pj5zUBoJF3d7dFp2oQDJyD2Ylb0ji4aRRH21jnVlg.jpg?r=726,Aragorn is revealed as the heir to the ancient kings as he,8.9,movie,2003,3h20m,https//occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfv9Dl1hIXS0opPc0c5Dz7Nbde_ZDqCOnv_8zSZpPr6SOGjLUg2k8ZMD6qXtWTr0Zk-WaN4D9muewqpPxy-QW258k4rW.jpg?r=726,2016-02-14,tt0167260,1.0
267,Stranger Things,80057281,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTL65qyo8vAVdBubGEaZO30gWLpk__rJa7dph61nnnfga7WNoKBixHuV7SEU6-XP9rh-NnCMd6z35UntYvOfE0Biw9GiO3p7NO6x0h_XRD5KawPqcD-ol4_GyfU.jpg?r=594,When a young boy vanishes,8.8,series,2016,,,2016-07-28,tt4574334,1.0
1298,Monty Python&#39;s Flying Circus,70213238,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABTnSeBNOJFNNzk7ydT70A8B1VZGQwwtyTV-OQDa75cbjcjFx4-YWqt4pP2JlIzM070jqk3lQK18fW-u2Ta9HL3BN8g.jpg?r=8a7,The Monty Python players make their mark with a winning mix of wit,8.8,series,1969,,,2018-10-01,tt0063929,0.0
2560,I Do Not Have Many Friends,80132156,https//occ-0-2042-299.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ9Me8LZ-3F0EAVsK4hxsIBwtB2ILoRkt8EEEaz4mqDD-v64vSSfPQdRKPY6o7b1BrYmXk2Quewx9yCqtPxgD6BIaQ.jpg?r=a1c,A blond transfer student desperate for social connection founds a club for people who have trouble making friends. Wacky (and awkward) hijinks ensue.,8.8,series,2011,,https//occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABRqeQjS9hRD87gC-v6FMPAQC2STcLxEZkeTtxUmQy0KBUasBdE1yBpDnzCqm3hK3M1bnXJd9aP8T5s7d-yyo_S1WbNK2.jpg?r=c9c,2019-07-01,tt3507354,1.0
158,The Lord of the Rings The Fellowship of the Ring,60004480,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVIRlafDBWvxdwGtv0DUrIw541tU1MHjlDY_4QLWWqDbum2kvTCGR5LXRy9ApfDSIFbd6T7kYsuDE5XQVKg4oBCJrQ.jpg?r=d14,From the idyllic shire of the Hobbits to the smoking chasms of Mordor,8.8,movie,2001,2h58m,https//occ-0-114-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbptYuEEVu7OxAipZ64I5FnF5SA14cSNNnNk11DuYyjQD2-wjj9wvc8OZncDFRNZCDVxv9-UlFdpkX6iCLPJArGDIx-y.jpg?r=d14,2016-02-14,tt0120737,0.0
3177,Reply 1988,80188351,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZNnrY5yNrJy6X_xaBS-VKVqoO5tIiaiSI5GXb6S6nuT-32EiANr--A2OHMYw4gH7fVlpQYXRD6yz9Bue0XmbFhk0A.jpg?r=50d,Take a nostalgic trip back to the late 1980s through the lives of five families and their five teenage kids living in a small neighborhood in Seoul.,8.8,series,2015,,https//occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABY0yPZwHGXQmI91patHXjLfXnUCzcxsJ6IBsbl451EbdBzAJ1-yC4j4TInp7GtaUroDgxH62Jb4TVdqBRxGCoEwpNhVw.jpg?r=50d,2020-01-01,tt5182866,0.0
1373,Mr. Sunshine,80991107,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSmbsu_6OQlwR97ORRx5gQesXLPkriCYxFlbZd2K7RM7aAabV_CWN8CC3q89o7qXGq-XBCkLBgawKnE7pP3kAqJgWCxALSLZ233ozcpGQSG2iYfZTPYMlbvEuRU.jpg?r=069,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,8.8,series,2018,,https//occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf9cZkPcyWBd9Jj8MTweWax_zkWumoFrNl3PxjHivrgLfOKcNICmxTYOgZraRL-oMVzy891qs-126O5I0ntCr8H2VTtW7Z3CLJvGJqVv-jinqLB7j_OzgJdZ9oXi5g.jpg?r=887,2018-10-01,tt7094780,0.0
57,Peaky Blinders,80002479,https//occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR9bBF9kJokrfEz3yHVdaWbD3pDsUgW7_F-ybcD_zu8HdwAo9nWLD5UC9HmxuXtuCThYFjYi4WsNJgGvDoDEEbIobtYqUJmt8wbTjN9PLDDrRtUvW2F3M7nMm4Q.jpg?r=c1e,A notorious gang in 1919 Birmingham,8.8,series,2013,,https//occ-0-1007-2705.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQA5B9Ut05o0suen-AbXW03Ak-Tcyi_lNdchwQHmPIDzOXWaOLl_DYtRXYBGYQcoYwbwbCNd_ABgGdM0ALU6o6BIZGgYJ2lpOFlbEG2bqtRIfYwbDUUp_z44k0SI2A.jpg?r=c1e,2016-01-06,tt2442560,1.0
3121,Crash Landing on You,81159258,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdK2Pv46Dlq65HrSoQYz4-T77GytzpZ29e3c5I4EXtdd9D4nMgZygnvX2zFgqMp0XBD8A7VxwO_lMlblPpfR5hSNv7RGiODjmFVhLIvhJHgEBI7PDGVVnBqMaCE.jpg?r=22f,A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer,8.8,series,2019,,https//occ-0-37-33.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABScmQ8FPphlr19mgq6WH71Xg6lQ1pNPlq6L2VWnNP9sBsJUcDoG-DXzEuTzOpHxp6K-yF0YJt5J516mIN0VXbobd3XWTiYOhKP0J4fVXf6o31lt8lpZLS0caKds5fA.jpg?r=22f,2019-12-15,tt10850932,0.0
4086,Sky Tour The Movie,81318380,https//occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABf0YHTcQ5ZbfdAYXGRs4xVxuhI5K0mmWGqkxtC1V6W712RsYMckydjZ5HT0F7sADOEuRuGWcgp9EJeHyNQRco1hJOQ.jpg?r=884,From the preparations to the performances,8.8,movie,2020,1h33m,https//occ-0-1926-41.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQU1ivPVqabUHA7Guso7126vVJMdKRo4z4YVmZrAMf8GhzUpYm5npBOzI-y6sgaoE_o1NPbPlmTdWXSt5eNEU-GkpZIh.jpg?r=47c,2020-09-03,tt12486200,0.0
3851,The Phantom of the Opera at the Royal Albert Hall,70224562,http//art-1.nflximg.net/0daa9/dc6220da755dcb949f888612c8999cb1b160daa9.jpg,After global success,8.8,movie,2011,2h40m,https//occ-0-1007-1360.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdWJjwGXBT3I-RNcsSk8t9dTleJaMWpMUk_340F7lZwFitpUKVEaqDYEft_PUhcNQlvsjoTMjitF1iQJ5vZcpnQupNly.jpg?r=de8,2020-07-02,tt2077886,1.0
2863,Dave Chappelle,80171965,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeEXhqVPtiAe3uE06J4jJvIg98_QWP1wIPaweVKw78tWOlZLgYcW-JtxoFhOkyQX8B4xgzYwh3gDbwL7XujqOJUatRxRhq6OyaZjo4lgucASRMV0Wpz1Cfu4U_s.jpg?r=706,Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering,8.8,series,2017,,,2019-10-07,tt0251654,0.0
2839,Signal,80987077,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABakkkrW5HlkBnRb60lM2EP3zjjQ0Kp-Zmm1j_v287ADtc-FGtR0pfmE2rd8z1JnJvTQ_HZ2fqapxdpN_4kgVoFLSzg.jpg?r=fdd,Communicating via a walkie-talkie that transcends time,8.8,series,2016,,https//occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQgU1zsyrdYZFiSWQ1B_t_wLghdvJsqCBjJESJNKV7Y4vLlwuAVj9f63NbOUnckGUWgGWaCF63Y3dtVBeqGG1E9pWBJG.jpg?r=f76,2019-10-01,tt5332206,0.0
212,Hush,80091879,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWn0Jvo9SJ0ojn97ld9TbCKfQ2ZyMmsAVpZMgcjAyuZu_-0n9oEe1prd6ZxRtch11BiYzsbrJs1bruw9Sws03ZMRrg.jpg?r=a3e,A deaf writer who retreated into the woods to live a solitary life must fight for her life in silence when a masked killer appears in her window.,8.8,movie,2016,1h21m,,2016-05-12,tt5445366,0.0
105,Inception,70131314,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYDAY7Malaj4klMEjUvy1YC7O6JXaUodaDIW2xyYs_huUch4quAuREHvGe6VlIj6o1K3THeI7eKXlBDuS6a-JZH7sw.jpg?r=d87,In this mindbending sci-fi thriller,8.8,movie,2010,2h28m,https//occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWd2lSb1KtWR4cvxeBR4L0vn5l_wcDJzGIEE-CQVWLxEyhChbypsF6DpuBSXPAM2VmtHaM05OYt1c1EZwCGuGGyy3PzV.jpg?r=d87,2016-01-06,tt1375666,0.0
182,Narcos,80025172,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZYhnoWvPkomsol0penC_2dgPkSF88zzQ2bO6gDTslFLTgO9_hIPgzrCtlUhXMGOOuAs67Vr3vi8XpXSyoqMHu8d8xG-WfN6X1p0jQZoJ_Z9styD5yAUPCGkdA8.jpg?r=94e,The true story of Colombia&rsquo;s infamously violent and powerful drug cartels fuels this gritty new gangster drama series.,8.8,series,2015,,http//cdn0.nflximg.net/images/9810/21939810.jpg,2016-04-19,tt2707408,1.0
1924,One Punch Man,80117291,https//occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABStseB8vSUe-qmfkTHrsD-Xynol2g_eB9lPLf9NEU3SIaEzKkEXq1QIvZh0Yg9Z3HMRicbkDE7Po_oZlxk3eyT6NdA.jpg?r=4cc,The most powerful superhero in the world can kill anyone with one blow. But nothing can challenge him,8.8,series,2015,,https//occ-0-2218-2219.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYIIlE5g6yDdtbvw7fXwhIDDlHZAYA8AwHXBIsVM4Wkf28EQ4Gs-eHF96n-DNanRHZspUKPjp2Iy8rMN5U8w6nWZBSij.jpg?r=67c,2019-02-08,tt4508902,0.0
50,Black Mirror,70264888,https//occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaueJzSII5XSe6J_DEa6AqX108ZCoRIKZ95wFtrl_DlUl-gzG3Fp3ACoCsiyjHv9a4gb8w6cwVldnOJQxxkKvtZlQyKXlJ4HE7xYjFWIevsyQos3WX7DpnCVvMI.jpg?r=176,This sci-fi anthology series in the vein of &#39;The Twilight Zone&#39; reflects on the darker side of technology and human nature.,8.8,series,2011,,http//cdn1.nflximg.net/images/1222/11671222.jpg,2016-01-06,tt2085059,1.0
